# t (s)	mx ()	my ()	mz ()
0	0.9661348	0.12734762	0
1.0352235133077781e-11	0.96308357	0.13750587	-0.013011862
2.035194347592359e-11	0.95395714	0.16523626	-0.024933837
3.0084362062201855e-11	0.93789226	0.2072143	-0.03566664
4.0078006884807156e-11	0.91231745	0.26288584	-0.04551004
5.040624001586203e-11	0.8746863	0.33005887	-0.054220635
6.039908581329977e-11	0.82657665	0.4004989	-0.06126608
7.02901317213068e-11	0.7672947	0.47199452	-0.06722639
8.008320643854695e-11	0.69696265	0.5415582	-0.07269773
9.024556911275628e-11	0.6111768	0.60958445	-0.07871165
1.0007306397574955e-10	0.51462185	0.66829824	-0.08574435
1.103901268950101e-10	0.39693522	0.71799845	-0.095389195
1.2031200858059385e-10	0.2663697	0.7479617	-0.107426584
1.301410110464146e-10	0.1207713	0.75263566	-0.121577114
1.4036259885074736e-10	-0.04330424	0.723997	-0.13686603
1.5015851751166458e-10	-0.20579362	0.6618111	-0.15008195
1.6037256603354464e-10	-0.37286898	0.56180865	-0.16099063
1.7019863598748425e-10	-0.52270854	0.43429303	-0.16786017
1.8006443238635184e-10	-0.6525601	0.28006077	-0.16988872
1.903716048464209e-10	-0.7588407	0.09843078	-0.16501547
2.0023034347504066e-10	-0.8271329	-0.08683607	-0.15183489
2.1005043409920937e-10	-0.8545342	-0.26800886	-0.12828366
2.2019532305306526e-10	-0.83267546	-0.42079917	-0.0915077
2.3033389618375742e-10	-0.7737988	-0.49603114	-0.047452755
2.4010299417452853e-10	-0.71675575	-0.48431897	-0.008893675
2.50278736655457e-10	-0.6769488	-0.4078889	0.022466836
2.6033140890690367e-10	-0.65820515	-0.29946414	0.04441671
2.703755305957106e-10	-0.65501577	-0.19043171	0.057354867
2.800803546570428e-10	-0.66379464	-0.106958956	0.063704185
2.902456560830856e-10	-0.69137543	-0.04788363	0.06779627
3.0001424619341593e-10	-0.75098467	-0.011678965	0.071168825
3.102418054801387e-10	-0.8421804	0.02685669	0.07498508
3.2000599501653256e-10	-0.9201192	0.096069075	0.07781842
3.3012818479266817e-10	-0.93012106	0.19666444	0.0739739
3.40251027232212e-10	-0.8547435	0.26855385	0.06246108
3.5039583454948906e-10	-0.7601145	0.29478666	0.04830921
3.601504845243908e-10	-0.69764656	0.30548257	0.034776114
3.703052086983986e-10	-0.6746082	0.32382414	0.020463388
3.8008298438247845e-10	-0.6862098	0.35586345	0.0051492997
3.902098096080541e-10	-0.7260182	0.3952225	-0.012988151
4.003209903164271e-10	-0.78510475	0.4128276	-0.033310164
4.100369903067209e-10	-0.8452105	0.38504314	-0.05347417
4.2016351397083053e-10	-0.8952564	0.30698767	-0.07159643
4.3029533543472524e-10	-0.91842544	0.1929766	-0.082852565
4.400326214038468e-10	-0.9128019	0.07085997	-0.08438972
4.50170097560967e-10	-0.8897497	-0.0437996	-0.07536103
4.6032304680609436e-10	-0.8659005	-0.13682698	-0.057731174
4.701026495637838e-10	-0.852233	-0.20682374	-0.03480604
4.803115402330612e-10	-0.8574911	-0.25367817	-0.00676218
4.90109852909374e-10	-0.88530993	-0.2610209	0.02268937
5.00263789724329e-10	-0.9245437	-0.21296114	0.05149893
5.100044990394292e-10	-0.9455746	-0.117366895	0.07133839
5.201452816530987e-10	-0.93874705	0.006403753	0.08162624
5.302753658234062e-10	-0.91304433	0.13242969	0.081854545
5.400189724752694e-10	-0.8792127	0.246027	0.07361619
5.501687199285323e-10	-0.8460851	0.34793833	0.0566468
5.603150446858055e-10	-0.8280659	0.4228448	0.032335985
5.700517322557513e-10	-0.83161664	0.4594008	0.004473113
5.802017127001932e-10	-0.8557489	0.4522403	-0.02525705
5.903758994419579e-10	-0.8898207	0.39492235	-0.05147359
6.001448791659702e-10	-0.9150353	0.297795	-0.06928942
6.10285011567311e-10	-0.9223178	0.17231463	-0.07629543
6.200153501460118e-10	-0.91357934	0.05180776	-0.07096541
6.301814393930155e-10	-0.8993679	-0.051887516	-0.054625545
6.403716304728687e-10	-0.8933277	-0.11989325	-0.030602487
6.501325883077398e-10	-0.90269285	-0.14708184	-0.0044154543
6.602404408827617e-10	-0.92786133	-0.13410348	0.022275576
6.703478588114217e-10	-0.95674103	-0.078139946	0.044836294
6.800635113229216e-10	-0.9714627	0.00863168	0.05834111
6.901998789291777e-10	-0.96528465	0.11310728	0.061098542
7.003413863615008e-10	-0.94343626	0.2102339	0.05324928
7.100776807947464e-10	-0.9205395	0.2843214	0.038464375
7.202198110131462e-10	-0.9068194	0.33372575	0.018192029
7.303573162764542e-10	-0.9088067	0.3482554	-0.0048208707
7.400846345302219e-10	-0.9238872	0.3257671	-0.027155653
7.50217756904322e-10	-0.94452375	0.26360968	-0.047324754
7.6034841320751e-10	-0.9623702	0.16958678	-0.06043453
7.70073322188222e-10	-0.97289157	0.06482624	-0.063556924
7.802044086919273e-10	-0.97452104	-0.04019943	-0.05559515
7.90319711668939e-10	-0.96813565	-0.121453926	-0.036890052
8.000249474614448e-10	-0.9606984	-0.1627566	-0.011981512
8.101327029649816e-10	-0.9592844	-0.16025178	0.016188536
8.202423984060337e-10	-0.96606857	-0.111416616	0.041470557
8.303508802735884e-10	-0.9747915	-0.02401366	0.059398483
8.400518200361655e-10	-0.9758344	0.081710584	0.06670956
8.501592293793288e-10	-0.9647006	0.19495039	0.0631388
8.602703864180231e-10	-0.94481814	0.292052	0.049578514
8.703820733492974e-10	-0.925069	0.3587785	0.02913454
8.800890803393707e-10	-0.91412383	0.38705388	0.0064197476
8.902053450288221e-10	-0.91597575	0.37744576	-0.017043702
9.003274640617468e-10	-0.93040216	0.33109564	-0.036824234
9.100505648865971e-10	-0.9487817	0.258847	-0.049541716
9.201839957680784e-10	-0.96384436	0.16690786	-0.054457728
9.303192592219868e-10	-0.97045493	0.073843665	-0.05056085
9.400510716371518e-10	-0.9704718	-0.002075277	-0.03943722
9.501912077090092e-10	-0.9685508	-0.055005316	-0.022138603
9.603329312802863e-10	-0.9695696	-0.07404263	-0.0019930368
9.700701448375875e-10	-0.9754263	-0.059199166	0.016907468
9.80213991659926e-10	-0.98364174	-0.013021109	0.032897938
9.903579412293116e-10	-0.9879251	0.055522148	0.04216848
1e-09	-0.9843861	0.1287203	0.043100998
